,提交者（自动）,提交时间（自动）,日期（必填）,厅号（必填）,主持（必填）,主持时间（必填）,排麦人员（必填）,填坑（必填）,黑麦 公屏不互动,厅名中文,主持人员列表_AI解析,排麦人员列表_AI解析,排麦出席人数_AI解析,排麦缺席人数_AI解析,排麦置信度_AI解析,标准化日期_AI解析,日期匹配标志_AI解析,主持错误_AI解析,排麦错误_AI解析
53,4ever,2025-09-22 00:38:30,2025年09月22日,1242753醉春色,撒娇 晚晚,00：00-01：00,@zᶻ.知礼ᕑᗢᓫ @zᶻ.呆呆ᕑᗢᓫ @zᶻ.九酱ᕑᗢᓫ @zᶻ.娜娜ᕑᗢᓫ @zᶻ.小妤ᕑᗢᓫ @zᶻ.璐璐ᕑᗢᓫ @zᶻ.若可ᕑᗢᓫ 关门缺一,无,无,醉春色,撒娇|晚晚,知礼|呆呆|九酱|娜娜|小妤|璐璐|若可,7,1,high,20250922,True,,
54,4ever,2025-09-22 01:56:47,2025年09月22号,1242753醉春色,撒娇 晚晚,01：00-02：00,@zᶻ.知礼ᕑᗢᓫ @zᶻ.九酱ᕑᗢᓫ @zᶻ.呆呆ᕑᗢᓫ 关门缺五,无,无,醉春色,撒娇|晚晚,知礼|九酱|呆呆,3,5,high,20250922,True,,
55,撒娇,2025-09-22 05:52:04,2025年09月22号,1242753醉春色,撒娇,02：00-03：00,关门缺8,无,,醉春色,撒娇,,0,8,high,20250922,True,,
56,🍼葫芦娃🍭,2025-09-22 14:38:57,2025年9月22日,1242753醉春色,呆呆 娜娜,12:00-13:00,@ㅤzᶻ.撒娇ᕑᗢᓫ @zᶻ.九酱ᕑᗢᓫ @zᶻ.卷柏ᕑᗢᓫ @zᶻ.若可ᕑᗢᓫ @zᶻ.子鱼ᕑᗢᓫ @zᶻ.璐璐ᕑᗢᓫ 关门缺2,无,无,醉春色,呆呆|娜娜,撒娇|九酱|卷柏|若可|子鱼|璐璐,6,2,high,20250922,True,,
57,🍼葫芦娃🍭,2025-09-22 14:39:29,2025年9月22日,1242753醉春色,呆呆 娜娜,13:00-14:00,@zᶻ.卷柏ᕑᗢᓫ @zᶻ.九酱ᕑᗢᓫ @zᶻ.王摆摆ᕑᗢᓫ @ㅤzᶻ.撒娇ᕑᗢᓫ @zᶻ.璐璐ᕑᗢᓫ @zᶻ.若可ᕑᗢᓫ 关门缺2,无,无,醉春色,呆呆|娜娜,卷柏|九酱|王摆摆|撒娇|璐璐|若可,6,2,high,20250922,True,,
58,拾柒.,2025-09-22 16:26:28,2025年9月20号,1242753醉春色,樱桃,17.00-18.00,@zᶻ.呆呆ᕑᗢᓫ @ㅤzᶻ.撒娇ᕑᗢᓫ @zᶻ.娜娜ᕑᗢᓫ @zᶻ.璐璐ᕑᗢᓫ @zᶻ.卷柏ᕑᗢᓫ @zᶻ.九酱ᕑᗢᓫ @zᶻ.若可ᕑᗢᓫ 关门缺一,无,,醉春色,樱桃,呆呆|撒娇|娜娜|璐璐|卷柏|九酱|若可,7,1,high,20250920,False,,
59,海燕燕在发财中～,2025-09-22 16:27:36,2025年9月22日,1242753醉春色,卷柏,11:00-12:00,@zᶻ.呆呆ᕑᗢᓫ @zᶻ.娜娜ᕑᗢᓫ @zᶻ.田甜ᕑᗢᓫ @zᶻ.九酱ᕑᗢᓫ @zᶻ.若可ᕑᗢᓫ @zᶻ.璐璐ᕑᗢᓫ @zᶻ.子鱼ᕑᗢᓫ 关门缺一,无,无,醉春色,卷柏,呆呆|娜娜|田甜|九酱|若可|璐璐|子鱼,7,1,high,20250922,True,,
60,拾柒.,2025-09-22 16:28:16,2025年9月21号,1242753醉春色,樱桃,17.00-18.00,@zᶻ.卷柏ᕑᗢᓫ @zᶻ.王摆摆ᕑᗢᓫ @zᶻ.撒娇ᕑᗢᓫ @zᶻ.知礼ᕑᗢᓫ @zᶻ.懒懒兔ᕑᗢᓫ @zᶻ.九酱ᕑᗢᓫ 关门缺二,无,,醉春色,樱桃,卷柏|王摆摆|撒娇|知礼|懒懒兔|九酱,6,2,high,20250921,False,,
61,拾柒.,2025-09-22 18:06:58,2025年9月22号,1242753醉春色,樱桃,17.00-18.00,@zᶻ.呆呆ᕑᗢᓫ @zᶻ.撒娇ᕑᗢᓫ @zᶻ.卷柏ᕑᗢᓫ @zᶻ.王摆摆ᕑᗢᓫ @zᶻ.知礼ᕑᗢᓫ @zᶻ.桃桃ᕑᗢᓫ 关门缺二,无,,醉春色,樱桃,呆呆|撒娇|卷柏|王摆摆|知礼|桃桃,6,2,high,20250922,True,,
62,🐮梅🐮,2025-09-22 19:05:07,20250922,1242753醉春色,璐璐卷柏,19：00-20：00,@zᶻ.撒娇ᕑᗢᓫ @zᶻ.懒懒兔ᕑᗢᓫ @zᶻ.知礼ᕑᗢᓫ @zᶻ.九酱ᕑᗢᓫ @zᶻ.王摆摆ᕑᗢᓫ @zᶻ.呆呆ᕑᗢᓫ @zᶻ.晚晚ᕑᗢᓫ 关门缺一,无,,醉春色,璐璐|卷柏,撒娇|懒懒兔|知礼|九酱|王摆摆|呆呆|晚晚,7,1,high,20250922,True,,
